X,Y,support,confidence,lift
"Proposed Construction Type:5, Supervisor District:9",Existing Construction Type:5,0.003373555,0.916666667,22.18065693
"Existing Construction Type:5, Supervisor District:9",Proposed Construction Type:5,0.003373555,0.882894737,21.63723055
"Permit Type:3, Existing Construction Type:1",Proposed Construction Type:1,0.003348416,0.988130564,70.72298278
"Proposed Construction Type:1, Permit Type:3",Existing Construction Type:1,0.003348416,0.853846154,60.61027837
Supervisor District:7,Proposed Construction Type:5,0.003348416,0.618384401,15.15483704
"Proposed Construction Type:5, Permit Type:3, Current Status:complete",Existing Construction Type:5,0.003338361,0.931276297,22.53416734
"Existing Construction Type:5, Permit Type:3, Current Status:complete",Proposed Construction Type:5,0.003338361,0.994011976,24.360397
"Supervisor District:3, Existing Construction Type:1",Proposed Construction Type:1,0.003313223,0.852522639,61.01718349
"Proposed Construction Type:1, Supervisor District:3",Existing Construction Type:1,0.003313223,0.934751773,66.35336462
"Proposed Construction Type:1, Current Status:issued",Permit Type:8,0.00329814,0.724861878,13.06288191
"Supervisor District:6, Existing Construction Type:1",Proposed Construction Type:1,0.003288084,0.829949239,59.4015486
"Proposed Construction Type:1, Supervisor District:6",Existing Construction Type:1,0.003288084,0.799511002,56.75329707
"Proposed Construction Type:5, Existing Use:2 family dwelling",Permit Type:8,0.003278029,0.622731614,11.22237184
"Permit Type:8, Existing Use:2 family dwelling",Proposed Construction Type:5,0.003278029,0.857894737,21.02455189
"Supervisor District:10, Proposed Construction Type:5",Existing Construction Type:5,0.003273002,0.886920981,21.46089819
"Existing Construction Type:5, Supervisor District:10",Proposed Construction Type:5,0.003273002,0.87854251,21.53056989
"Supervisor District:5, Existing Construction Type:5",Permit Type:8,0.003247863,0.62962963,11.34668237
"Existing Construction Type:5, Existing Use:2 family dwelling",Permit Type:8,0.003237808,0.608695652,10.96942695
"Permit Type:8, Existing Use:2 family dwelling",Existing Construction Type:5,0.003237808,0.847368421,20.50384172
"Supervisor District:5, Permit Type:8, Proposed Construction Type:5",Existing Construction Type:5,0.003217697,0.946745562,22.90847838
"Supervisor District:5, Proposed Construction Type:5","Existing Construction Type:5, Permit Type:8",0.003217697,0.620756547,24.53178566
"Supervisor District:5, Existing Construction Type:5, Proposed Construction Type:5",Permit Type:8,0.003217697,0.667361835,12.02666205
"Supervisor District:5, Existing Construction Type:5","Permit Type:8, Proposed Construction Type:5",0.003217697,0.623781676,23.40063664
"Supervisor District:5, Existing Construction Type:5, Permit Type:8",Proposed Construction Type:5,0.003217697,0.990712074,24.27952582
"Existing Construction Type:5, Proposed Construction Type:5, Existing Use:2 family dwelling",Permit Type:8,0.003207642,0.617618587,11.13022895
"Proposed Construction Type:5, Existing Use:2 family dwelling","Permit Type:8, Existing Construction Type:5",0.003207642,0.609360076,24.08140656
"Existing Construction Type:5, Existing Use:2 family dwelling","Permit Type:8, Proposed Construction Type:5",0.003207642,0.603024575,22.6219517
"Permit Type:8, Proposed Construction Type:5, Existing Use:2 family dwelling",Existing Construction Type:5,0.003207642,0.978527607,23.67751108
"Permit Type:8, Existing Use:2 family dwelling","Existing Construction Type:5, Proposed Construction Type:5",0.003207642,0.839473684,22.42429704
"Permit Type:8, Existing Construction Type:5, Existing Use:2 family dwelling",Proposed Construction Type:5,0.003207642,0.99068323,24.27881893
Zipcode:94117,Supervisor District:5,0.003202614,0.754739336,81.94195089
